,0,1,2,3,4,5,6,7,8
0,"2А1:9А1
","Блок путония PS307 10А
","P$307
","6ES? 307-1KA02-DAA0
","SIEMENS
","wm.
","2
","0,10
","Po
"
1,"2А2
","Модуль батареи для блоков 0С-ЦР5 7 Axyac
","Sitop Power
","6ЕР1 935-6ME21
","SIEMENS
","wm.
","1
","6,00
","py
"
2,"2A3
","Блок пишония модульный UPS 15 А
","Sitop Power
","6ЕР1 931-2Е(21
","SIEMENS
","wm,
","1
","0,0
","a eee mg
"
3,"ЗАТ
","Центральный процессор 57-1500 CPU 1511-1 PN
","CPU 1511-1 PN
","6£S7511-1AK00-0AB0
","SIEMENS
","wim.
","1
","0,43
","a a ~ |
"
4,"JAI
","Корта памяти
","& Мб для 57-1500
","GES #954-81002-0AA0
","SIEMENS
","wm,
","1
","0,10
","ПИ
"
5,"ЗА1
","Профильная шина
","57-1500 530 мм
","$Е57590-1АР3З0-СААО
","SIEMENS
","Ш,
","1
","0,10
","Я
"
6,"ЗА]
","У-образный шинный соединител
","PO
","6ES7-590-0AA00-0AA00
","SIEMENS
","am.
","|
","0,10
","НИИ
"
7,"3A1
","Праефиольная wuHo
","57-1500 160 мм
","6ES7590-1AB60-0AA0
","SIEMENS
","wm.
","1
","0,10
","тя
"
8,"3A2
","Блок питония PS 1505 25 W 24 V DC
","PS 1505 25 М 24 V OC
","6ES7505-0K A00-0ABO
","SIEMENS
","wm.
","1
","0,35
","Ща
"
9,"АА]
","Панель оператора сенсорная МР-377-15“
","Понель оператора сенгорная MP-377-15""
","6А\66&&-0АВ01-2АХО
","SIEMENS
","wm.
","1
","1,10
","ООН
"
10,"SA1...5A3
","Модуль SM-1521 32 Di =24 В, 3 mc, mun 3
","$М-1521
","6Е57521-18100-0АВ6
","SIEMENS
","wm.
","3
","0,26
","| Se a es _| .
"
11,"a
","Фронтальный штеккер для 35 мм Modyned, 40 полюсов {под винт}
","и
","и
","SIEMENS
","wm.
","Ц
","0,10
","a a |
"
12,"6А1;5 А2
","Модуль SM-1522 32 DO =2% В/0.5 А
","SM-1522
","6ES7522-1BL00-0AB0
","SIEMENS
","wm.
","2
","0,25
","— —————
"
13,"6АЗ
","Модуль SM-1532 AQ BxU/I HS
","$М-1532 AQ BxU/1 HS
","6£57532-SHFO0-0ABO
","SIEMENS
","Шт,
","1
","0,20
","ия
"
14,"341...7А5
","Модуль 5М-1531 Al 6xU/I HS
","SM-1531 Al BxU/1 HS
","6Е57531-7МЕ0-ОАВО
","SIEMENS
","wm.
","5
","0,20
","|
"
15,"TRA
","Модуль СМ 1542-5
","СМ 15%2-5
","60K 7542-5DX00-0XED
","SIEMENS
","wm.
","1
","0,40
","ПИ
"
16,"Al
","Штекер dan подключения PROFIBUS
","Штекер Эля подкиючения PROFIBUS
","6£S 7-972-0BAS2-O0XAD
","SIEMENS
",,"я
","0,10
","|
"
17,"17A2
","Модуль СМ PtP RS622/485 HF
","CM PtP RS422/485 HF
","6Е51561-1АВ00-ОСАВО
","SIEMENS
","ША.
","2
","0,20
","И
"
18,"ТРА?
","Разъем 0815
","male
","sd
","_ _— аи:
","ЩИТ.
","2
","0,10
","7 х by, |
"
19,"iHL1
","Вод питания (с розеткой, без штекера], 3 м, серый
","ee
","&315.150
","Rittal
","И
","1
","0,00
","Le
"
20,"НЫ
","Стандартный сбетильник с концебым выключотелем
","(5682 мм, 230 В, 18 Вт
","&138.190
","Rittal
","Шт.
","1
","0,50
","; lg
"
